Start Time: 2024-12-27 20:22:19.319948 | End Time: 2024-12-27 20:22:19.319953 | Operation: backup | Status Code: Success | Message: File Module-Unit-Testing.docx successfully backed up to C:\\Users\\İzzet\\Desktop\\FileBackupSystem\\Dosyalar\\YedeklenmişDosyalar\t\Module-Unit-Testing.docx. | Status: Success | User: t | Source Path: C:\\Users\\İzzet\\Desktop\\FileBackupSystem\\Dosyalar\\YüklüDosyalar\t\Module-Unit-Testing.docx | Data Size: 51588 bytes
Start Time: 2024-12-27 20:23:46.305415 | End Time: 2024-12-27 20:23:46.305418 | Operation: backup | Status Code: Success | Message: File DjangoSalih.zip successfully backed up to C:\\Users\\İzzet\\Desktop\\FileBackupSystem\\Dosyalar\\YedeklenmişDosyalar\t\DjangoSalih.zip. | Status: Success | User: t | Source Path: C:\\Users\\İzzet\\Desktop\\FileBackupSystem\\Dosyalar\\YüklüDosyalar\t\DjangoSalih.zip | Data Size: 46000 bytes
Start Time: 2024-12-27 20:23:52.096905 | End Time: 2024-12-27 20:23:52.096910 | Operation: backup | Status Code: Success | Message: File Position_Salaries.csv successfully backed up to C:\\Users\\İzzet\\Desktop\\FileBackupSystem\\Dosyalar\\YedeklenmişDosyalar\t\Position_Salaries.csv. | Status: Success | User: t | Source Path: C:\\Users\\İzzet\\Desktop\\FileBackupSystem\\Dosyalar\\YüklüDosyalar\t\Position_Salaries.csv | Data Size: 246 bytes
Start Time: 2024-12-27 20:24:02.706586 | End Time: 2024-12-27 20:24:02.706592 | Operation: backup | Status Code: Success | Message: File 20240705_d7a1c_2024-2025-akademik-takvim-senato-1-fcb.pdf successfully backed up to C:\\Users\\İzzet\\Desktop\\FileBackupSystem\\Dosyalar\\YedeklenmişDosyalar\t\20240705_d7a1c_2024-2025-akademik-takvim-senato-1-fcb.pdf. | Status: Success | User: t | Source Path: C:\\Users\\İzzet\\Desktop\\FileBackupSystem\\Dosyalar\\YüklüDosyalar\t\20240705_d7a1c_2024-2025-akademik-takvim-senato-1-fcb.pdf | Data Size: 829122 bytes
Start Time: 2024-12-27 20:24:07.557732 | End Time: 2024-12-27 20:24:07.557740 | Operation: backup | Status Code: Success | Message: File Donald M. Broom - The Evolution of Morality and Religion-cambridge university press (2003).pdf successfully backed up to C:\\Users\\İzzet\\Desktop\\FileBackupSystem\\Dosyalar\\YedeklenmişDosyalar\t\Donald M. Broom - The Evolution of Morality and Religion-cambridge university press (2003).pdf. | Status: Success | User: t | Source Path: C:\\Users\\İzzet\\Desktop\\FileBackupSystem\\Dosyalar\\YüklüDosyalar\t\Donald M. Broom - The Evolution of Morality and Religion-cambridge university press (2003).pdf | Data Size: 1081931 bytes
Start Time: 2024-12-28 14:22:58.430506 | End Time: 2024-12-28 14:22:58.430511 | Operation: backup | Status Code: Success | Message: File SQL Homework.pdf successfully backed up to C:\\Users\\İzzet\\Desktop\\FileBackupSystem\\Dosyalar\\YedeklenmişDosyalar\t\SQL Homework.pdf. | Status: Success | User: t | Source Path: C:\\Users\\İzzet\\Desktop\\FileBackupSystem\\Dosyalar\\YüklüDosyalar\t\SQL Homework.pdf | Data Size: 26026 bytes
Start Time: 2024-12-28 16:06:28.781447 | End Time: 2024-12-28 16:06:28.781449 | Operation: backup | Status Code: Success | Message: File SQL Homework.pdf successfully backed up to C:\\Users\\İzzet\\Desktop\\FileBackupSystem\\Dosyalar\\YedeklenmişDosyalar\p\SQL Homework.pdf. | Status: Success | User: p | Source Path: C:\\Users\\İzzet\\Desktop\\FileBackupSystem\\Dosyalar\\YüklüDosyalar\p\SQL Homework.pdf | Data Size: 26026 bytes
Start Time: 2024-12-28 16:17:47.858283 | End Time: 2024-12-28 16:17:47.858285 | Operation: backup | Status Code: Success | Message: File uygulama raporu dyt.docx successfully backed up to C:\\Users\\İzzet\\Desktop\\FileBackupSystem\\Dosyalar\\YedeklenmişDosyalar\qaz\uygulama raporu dyt.docx. | Status: Success | User: qaz | Source Path: C:\\Users\\İzzet\\Desktop\\FileBackupSystem\\Dosyalar\\YüklüDosyalar\qaz\uygulama raporu dyt.docx | Data Size: 20641 bytes
Start Time: 2024-12-28 16:32:27.919916 | End Time: 2024-12-28 16:32:27.919919 | Operation: backup | Status Code: Success | Message: File sss.txt successfully backed up to C:\\Users\\İzzet\\Desktop\\FileBackupSystem\\Dosyalar\\YedeklenmişDosyalar\p\sss.txt. | Status: Success | User: p | Source Path: C:\\Users\\İzzet\\Desktop\\FileBackupSystem\\Dosyalar\\YüklüDosyalar\p\sss.txt | Data Size: 0 bytes
Start Time: 2024-12-28 16:47:26.015924 | End Time: 2024-12-28 16:47:26.015927 | Operation: backup | Status Code: Success | Message: File Isletim_Sistemleri_Uygulama_Odevi.pdf successfully backed up to C:\\Users\\İzzet\\Desktop\\FileBackupSystem\\Dosyalar\\YedeklenmişDosyalar\p\Isletim_Sistemleri_Uygulama_Odevi.pdf. | Status: Success | User: p | Source Path: C:\\Users\\İzzet\\Desktop\\FileBackupSystem\\Dosyalar\\YüklüDosyalar\p\Isletim_Sistemleri_Uygulama_Odevi.pdf | Data Size: 63331 bytes
Start Time: 2024-12-28 16:53:47.910585 | End Time: 2024-12-28 16:53:47.910588 | Operation: backup | Status Code: Success | Message: File Donald M. Broom - The Evolution of Morality and Religion-cambridge university press (2003).pdf successfully backed up to C:\\Users\\İzzet\\Desktop\\FileBackupSystem\\Dosyalar\\YedeklenmişDosyalar\qaz\Donald M. Broom - The Evolution of Morality and Religion-cambridge university press (2003).pdf. | Status: Success | User: qaz | Source Path: C:\\Users\\İzzet\\Desktop\\FileBackupSystem\\Dosyalar\\YüklüDosyalar\qaz\Donald M. Broom - The Evolution of Morality and Religion-cambridge university press (2003).pdf | Data Size: 1081931 bytes
Start Time: 2024-12-28 17:34:08.304054 | End Time: 2024-12-28 17:34:08.304058 | Operation: backup | Status Code: Success | Message: File 20240705_d7a1c_2024-2025-akademik-takvim-senato-1-fcb.pdf successfully backed up to C:\\Users\\İzzet\\Desktop\\FileBackupSystem\\Dosyalar\\YedeklenmişDosyalar\qaz\20240705_d7a1c_2024-2025-akademik-takvim-senato-1-fcb.pdf. | Status: Success | User: qaz | Source Path: C:\\Users\\İzzet\\Desktop\\FileBackupSystem\\Dosyalar\\YüklüDosyalar\qaz\20240705_d7a1c_2024-2025-akademik-takvim-senato-1-fcb.pdf | Data Size: 829122 bytes
Start Time: 2024-12-28 17:41:04.024361 | End Time: 2024-12-28 17:41:04.024365 | Operation: backup | Status Code: Success | Message: File Python projesi.pdf successfully backed up to C:\\Users\\İzzet\\Desktop\\FileBackupSystem\\Dosyalar\\YedeklenmişDosyalar\qaz\Python projesi.pdf. | Status: Success | User: qaz | Source Path: C:\\Users\\İzzet\\Desktop\\FileBackupSystem\\Dosyalar\\YüklüDosyalar\qaz\Python projesi.pdf | Data Size: 167340 bytes
Start Time: 2024-12-28 17:45:07.968358 | End Time: 2024-12-28 17:45:07.968363 | Operation: backup | Status Code: Success | Message: File asdf.txt successfully backed up to C:\\Users\\İzzet\\Desktop\\FileBackupSystem\\Dosyalar\\YedeklenmişDosyalar\qaz\asdf.txt. | Status: Success | User: qaz | Source Path: C:\\Users\\İzzet\\Desktop\\FileBackupSystem\\Dosyalar\\YüklüDosyalar\qaz\asdf.txt | Data Size: 0 bytes
Start Time: 2024-12-28 17:48:07.099216 | End Time: 2024-12-28 17:48:07.099220 | Operation: backup | Status Code: Success | Message: File Matplotlib ve Pandas.zip successfully backed up to C:\\Users\\İzzet\\Desktop\\FileBackupSystem\\Dosyalar\\YedeklenmişDosyalar\qaz\Matplotlib ve Pandas.zip. | Status: Success | User: qaz | Source Path: C:\\Users\\İzzet\\Desktop\\FileBackupSystem\\Dosyalar\\YüklüDosyalar\qaz\Matplotlib ve Pandas.zip | Data Size: 2073047 bytes
